id,name
1,歩掛や単価の根拠、考え方に関するご質問
2,帳票の様式やカスタマイズに関するご質問
3,積算システムの計算の考え方に関するご質問
4,システム、歩掛、単価の更新に関するご質問
5,ライセンス認証に関するご質問
6,サポートページに関するご質問
7,積算システムの操作方法に関するご質問
8,マスタファイルの編集・管理方法に関するご質問
